,Accuracy,Precision,Recall,F1
Logistic Regression,0.9497757847533632,0.9607843137254902,0.6533333333333333,0.7777777777777778
SVM,0.9802690582959641,0.9776119402985075,0.8733333333333333,0.9225352112676056
Naive Bayes,0.9695067264573991,1.0,0.7733333333333333,0.8721804511278195
Random Forest,0.9748878923766816,1.0,0.8133333333333334,0.8970588235294118
